kabupaten,tahun,bulan,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Bandar Lampung,2018,1,17.429032258064513,25.845483870967744,28.77806451612903,23.696129032258067,84.71483870967741,162.3
Bandar Lampung,2018,2,18.649285714285714,25.919285714285714,28.48107142857143,23.997857142857146,86.46285714285715,374.04
Bandar Lampung,2018,3,19.30032258064516,25.989354838709676,28.49225806451613,24.228064516129034,86.3225806451613,379.44
Bandar Lampung,2018,4,18.052666666666667,26.541333333333334,29.061666666666667,24.695,86.41933333333333,244.87
Bandar Lampung,2018,5,17.52032258064516,26.565806451612904,29.163870967741936,24.671935483870968,86.29516129032258,122.63
Bandar Lampung,2018,6,16.109333333333332,26.106333333333335,28.454333333333334,24.430666666666664,86.50266666666667,122.36
Bandar Lampung,2018,7,18.72483870967742,25.350645161290323,28.54,23.026129032258062,82.50225806451614,12.120000000000001
Bandar Lampung,2018,8,18.653225806451612,26.090645161290322,30.063548387096777,23.373548387096776,76.60032258064517,34.39
Bandar Lampung,2018,9,19.889,26.67866666666667,31.08966666666667,23.514333333333333,74.95,47.11
Bandar Lampung,2018,10,19.84967741935484,27.57903225806452,31.911935483870966,24.484516129032258,75.19225806451612,77.44
Bandar Lampung,2018,11,18.252666666666666,26.75,29.99866666666667,24.60533333333333,82.48966666666666,173.05
Bandar Lampung,2018,12,17.448064516129033,26.49967741935484,29.530322580645162,24.456129032258065,82.56806451612904,161.39000000000001
Bandar Lampung,2019,1,19.00548387096774,26.60258064516129,29.58258064516129,24.436129032258062,84.20677419354838,340.98
Bandar Lampung,2019,2,19.937857142857144,26.534285714285716,29.36285714285714,24.485000000000003,85.41571428571429,275.99
Bandar Lampung,2019,3,18.656774193548387,26.299999999999997,28.983225806451614,24.271612903225805,85.85096774193549,353.42
Bandar Lampung,2019,4,18.971999999999998,26.801333333333332,29.406,24.92,86.099,271.79
Bandar Lampung,2019,5,17.94709677419355,26.710967741935484,29.11,24.955161290322582,86.09612903225806,86.38
Bandar Lampung,2019,6,16.682333333333336,26.00433333333333,28.729666666666667,24.05933333333333,85.18833333333333,51.300000000000004
