kabupaten,tahun,ALLSKY_SFC_SW_DWN_utama_mean,T2M_utama_mean,T2M_MAX_utama_mean,T2M_MIN_utama_mean,RH2M_utama_mean,PRECTOTCORR_utama_sum,ALLSKY_SFC_SW_DWN_gadu_mean,T2M_gadu_mean,T2M_MAX_gadu_mean,T2M_MIN_gadu_mean,RH2M_gadu_mean,PRECTOTCORR_gadu_sum,ALLSKY_SFC_SW_DWN_kemarau_mean,T2M_kemarau_mean,T2M_MAX_kemarau_mean,T2M_MIN_kemarau_mean,RH2M_kemarau_mean,PRECTOTCORR_kemarau_sum,luas_panen_ha,produksi_ton,produktivitas_ton_per_ha,prodvt_lag1,prodvt_roll2,prodvt_roll3
Bandar Lampung,2019,18.660169278033795,26.537308755760364,29.49153056835637,24.450840860215052,84.10623748079877,1304.8300000000002,18.00035752688172,26.321013440860213,29.096658602150537,24.314833333333333,84.75852688172043,480.05,20.951620071684587,26.9912688172043,32.01286379928315,23.42825806451613,71.52970250896058,63.74,423.74,2318.24,5.4709019681880395,5.631604400918873,5.631604400918873,5.631604400918873
Bandar Lampung,2020,19.006206451612904,27.126033518724512,30.460534593993323,24.682295068594737,81.9736476826103,1626.45,16.902069892473115,26.387983870967744,28.745844086021506,24.66464247311828,87.0898682795699,895.77,18.764082437275984,26.001541218637993,28.849856630824377,23.98137634408602,85.569770609319,425.18,523.07,2506.64,4.792169308123195,5.4709019681880395,5.551253184553456,5.551253184553456
Bandar Lampung,2021,17.461196159754223,26.105806144393245,28.798528725038402,24.08873748079877,85.41729523809525,1281.16,16.833231182795696,26.23068817204301,28.789959677419354,24.342147849462368,85.66664784946238,425.42,18.24805376344086,26.490559139784946,29.730114695340504,24.242896057347668,82.46844802867383,439.68000000000006,470.07,2561.57,5.449337332737678,4.792169308123195,5.131535638155617,5.298225225743369
Bandar Lampung,2022,18.336209370199693,26.07516728110599,28.61299062980031,24.201303993855603,86.12442734254992,1302.4,16.35808870967742,26.10293010752688,28.468540322580644,24.359494623655912,86.46172311827956,698.8399999999999,17.892505376344086,25.933430107526885,28.5631541218638,24.116275985663084,85.91046594982079,419.88,491.63,2721.97,5.536623070195065,5.449337332737678,5.1207533204304365,5.237469536349637
Bandar Lampung,2023,17.879984178187406,25.90186712749616,28.621032718894014,23.89840752688172,85.89943302611367,1140.6200000000001,17.22080376344086,26.383978494623655,28.85601612903226,24.613056451612902,86.45187365591397,616.8,21.42260215053763,27.06555555555556,31.53328673835125,23.88068458781362,75.78139068100359,69.71000000000001,477.44,2444.11,5.11919822386059,5.536623070195065,5.492980201466372,5.2593765703519795
Bandar Lampung,2024,18.270930812013347,27.191314571746386,30.414890841675934,24.95646800148313,83.12889558769004,1097.0500000000002,16.378462365591396,26.969405913978495,29.540567204301077,25.081462365591396,86.03555376344086,668.9300000000001,20.504211469534052,27.426870967741934,31.667881720430106,24.461792114695342,76.35734050179212,184.82,530.53,2716.27,5.119917818031026,5.11919822386059,5.327910647027828,5.368386208931111
Lampung Barat,2019,18.504105376344086,24.425567127496162,28.04706728110599,21.895210752688175,85.66846958525346,1252.18,18.252575268817203,24.217938172043013,27.76574731182796,21.596016129032257,87.42420698924732,519.61,20.73783154121864,25.51237634408602,31.607630824372762,20.920774193548386,68.3283870967742,57.9,13631.86,59142.33,4.338537074177698,5.236469851437575,5.236469851437575,5.236469851437575
Lampung Barat,2020,19.35117144975899,25.265367667779014,29.225220837968113,22.393013051538748,81.64622766036337,1333.9299999999998,17.424833333333336,24.22118548387097,27.291698924731183,21.990620967741936,89.26562634408602,905.3299999999999,18.375652329749105,23.98110752688172,27.77910394265233,21.266318996415773,86.7459569892473,353.98,13400.6,57093.19,4.260495052460338,4.338537074177698,4.787503462807637,4.787503462807637
Lampung Barat,2021,17.730424577572965,23.8386242703533,27.186766513056842,21.397576958525345,87.5695360983103,1177.42,17.744048387096775,24.0182123655914,27.31656182795699,21.529666666666667,87.9773064516129,448.59999999999997,17.92485304659498,24.451788530465947,28.533272401433692,21.58547670250896,83.8696989247312,426.65,12303.02,60665.89,4.9309754840681395,4.260495052460338,4.299516063319018,4.611833992691871
Lampung Barat,2022,18.378309370199695,23.80558479262673,26.9541708141321,21.532369738863288,88.56629600614438,1256.78,16.974379032258064,23.964263440860215,27.087532258064517,21.62035483870968,88.55919086021504,583.54,16.77648028673835,23.85107526881721,27.29793548387097,21.42832258064516,87.76275268817204,428.49,13032.88,62802.09,4.81874228873434,4.9309754840681395,4.595735268264239,4.510002536902058
