kabupaten,tahun,luas_panen_ha,produksi_ton
Lampung Barat,2018,15536.23,81355.0
Lampung Barat,2019,13631.86,59142.33
Lampung Barat,2020,13400.6,57093.19
Lampung Barat,2021,12303.02,60665.89
Lampung Barat,2022,13032.88,62802.09
Lampung Barat,2023,13513.57,70922.62
Lampung Barat,2024,13405.25,63045.97
Tanggamus,2018,26666.26,155711.37
Tanggamus,2019,24437.96,121750.98
Tanggamus,2020,26905.17,148158.63
Tanggamus,2021,22572.24,123414.48
Tanggamus,2022,22563.4,128674.92
Tanggamus,2023,25430.89,147163.03
Tanggamus,2024,23943.52,135017.18
Lampung Selatan,2018,48729.28,268374.79
Lampung Selatan,2019,44070.05,265878.24
Lampung Selatan,2020,54761.95,311668.77
Lampung Selatan,2021,51178.22,330325.73
Lampung Selatan,2022,56393.41,339941.87
Lampung Selatan,2023,52334.35,294548.78
Lampung Selatan,2024,57884.73,317834.2
Lampung Timur,2018,99903.34,441855.33
Lampung Timur,2019,80699.48,355113.03
Lampung Timur,2020,94847.31,459300.61
Lampung Timur,2021,83568.7,397374.49
Lampung Timur,2022,91718.06,449294.9
Lampung Timur,2023,94070.36,475668.41
Lampung Timur,2024,93339.53,482716.29
Lampung Tengah,2018,114756.51,525372.11
Lampung Tengah,2019,98254.4,455234.05
Lampung Tengah,2020,113890.72,599111.2
Lampung Tengah,2021,100290.55,489447.65
Lampung Tengah,2022,101612.69,566601.47
Lampung Tengah,2023,108129.91,608009.47
Lampung Tengah,2024,107704.78,614016.7
Lampung Utara,2018,19277.16,83364.18
Lampung Utara,2019,15080.38,61822.68
Lampung Utara,2020,17133.37,75751.91
Lampung Utara,2021,16940.92,74260.22
Lampung Utara,2022,13705.47,63452.76
Lampung Utara,2023,17834.92,72390.72
Lampung Utara,2024,15092.55,63178.9
Way Kanan,2018,19121.79,95255.86
Way Kanan,2019,17586.18,59419.44
Way Kanan,2020,17766.75,78824.55
Way Kanan,2021,17403.59,82234.55
Way Kanan,2022,21224.06,100985.27
Way Kanan,2023,18720.83,84631.42
Way Kanan,2024,19986.05,95711.27
Tulang Bawang,2018,43681.36,194593.04
Tulang Bawang,2019,51559.24,217894.34
Tulang Bawang,2020,55881.56,215987.34
Tulang Bawang,2021,52601.29,232508.52
Tulang Bawang,2022,65510.84,268323.74
Tulang Bawang,2023,72025.12,319193.91
Tulang Bawang,2024,75344.09,375139.71
Pesawaran,2018,24396.52,134478.34
Pesawaran,2019,20564.75,111281.36
Pesawaran,2020,22068.41,113206.52
Pesawaran,2021,21260.36,113402.71
Pesawaran,2022,23359.64,130558.89
Pesawaran,2023,23009.98,121692.61
Pesawaran,2024,21910.12,115934.28
Pringsewu,2018,24838.07,141246.17
Pringsewu,2019,21439.28,112699.15
Pringsewu,2020,23041.49,130867.36
Pringsewu,2021,21574.65,122185.57
Pringsewu,2022,23489.05,137096.53
Pringsewu,2023,21752.76,128637.72
Pringsewu,2024,22651.01,143902.58
Mesuji,2018,44556.79,228265.9
Mesuji,2019,56247.52,246840.77
Mesuji,2020,78479.45,325509.23
Mesuji,2021,65020.17,336767.8
Mesuji,2022,57654.9,296934.72
Mesuji,2023,56726.11,296526.82
Mesuji,2024,56395.22,271572.19
Tulang Bawang Barat,2018,11543.67,43391.57
Tulang Bawang Barat,2019,6071.41,30670.11
Tulang Bawang Barat,2020,6360.79,30361.02
Tulang Bawang Barat,2021,6994.69,33802.34
Tulang Bawang Barat,2022,10254.68,50700.33
Tulang Bawang Barat,2023,9942.54,45954.48
Tulang Bawang Barat,2024,7282.52,29538.83
Pesisir Barat,2018,13208.91,67393.77
Pesisir Barat,2019,11038.55,50951.25
Pesisir Barat,2020,12808.37,60273.6
Pesisir Barat,2021,12215.56,62295.74
Pesisir Barat,2022,11921.43,60772.93
Pesisir Barat,2023,10860.16,60121.34
Pesisir Barat,2024,11090.78,51619.38
Bandar Lampung,2018,496.26,2794.74
Bandar Lampung,2019,423.74,2318.24
Bandar Lampung,2020,523.07,2506.64
Bandar Lampung,2021,470.07,2561.57
Bandar Lampung,2022,491.63,2721.97
Bandar Lampung,2023,477.44,2444.11
Bandar Lampung,2024,530.53,2716.27
Metro,2018,5228.78,25189.74
Metro,2019,2998.62,13073.36
Metro,2020,7280.04,41669.07
Metro,2021,5179.2,24205.52
Metro,2022,5323.92,29297.35
Metro,2023,5279.15,29992.75
Metro,2024,5154.43,29403.78
