kabupaten,tahun,luas_panen_ha,produktivitas_ton_per_ha,PRECTOTCORR_utama_sum,T2M_utama_mean,RH2M_utama_mean,PRECTOTCORR_gadu_sum,T2M_gadu_mean,RH2M_gadu_mean,PRECTOTCORR_kemarau_sum,T2M_kemarau_mean,RH2M_kemarau_mean,prodvt_lag1,prodvt_roll2
Bandar Lampung,2024,530.53,5.119917818031026,1097.0500000000002,27.191314571746386,83.12889558769004,668.9300000000001,26.969405913978495,86.03555376344086,184.82,27.426870967741937,76.35734050179212,5.11919822386059,5.327910647027828
Lampung Barat,2024,13405.25,4.703080509501874,1105.0500000000002,25.2940844642195,83.83247000370783,590.07,24.94663978494624,88.02923387096774,176.8,25.77121863799283,74.91649103942653,5.248251942306881,5.0334971155206105
Lampung Selatan,2024,57884.73,5.490812516530698,1162.9,28.196386355209498,81.33564352984797,658.9300000000001,28.22233064516129,81.90886290322581,175.85,28.41122580645161,75.03217204301076,5.628211299079859,5.82812688003477
Lampung Tengah,2024,107704.78,5.700923394486298,1065.6,27.49122031887282,82.23315743418614,574.4100000000001,26.70227688172043,87.96324193548386,172.64,28.001702508960573,73.37229032258064,5.622953630498721,5.599521645083114
Lampung Timur,2024,93339.53,5.17161689157852,1110.85,28.156631738969224,81.35554215795328,580.54,27.779997311827955,84.64268279569892,176.68,28.40362365591398,74.775688172043,5.056517376993136,4.977584917158622
Lampung Utara,2024,15092.55,4.1860984392962095,1065.6,27.49122031887282,82.23315743418614,574.4100000000001,26.70227688172043,87.96324193548386,172.64,28.001702508960573,73.37229032258064,4.058931579171648,4.344335691894902
Mesuji,2024,56395.22,4.815517875451146,1262.07,27.900732740081573,84.15327541713013,725.5900000000001,27.834672043010755,85.85512903225806,226.79,27.66710035842294,81.41094265232975,5.227342752746487,5.188775313766248
Metro,2024,5154.43,5.70456481124004,1065.6,27.49122031887282,82.23315743418614,574.4100000000001,26.70227688172043,87.96324193548386,172.64,28.001702508960573,73.37229032258064,5.681359688586231,5.592162774164338
Pesawaran,2024,21910.12,5.291357600962478,1097.0500000000002,27.191314571746386,83.12889558769004,668.9300000000001,26.969405913978495,86.03555376344086,184.82,27.426870967741937,76.35734050179212,5.288688212679889,5.438883962262382
Pesisir Barat,2024,11090.78,4.654260565983637,1546.82,25.836628698553948,85.90284345569151,901.94,26.382798387096777,85.59059946236559,247.62,26.367415770609316,78.43510394265233,5.535953429783723,5.316871017001592
Pringsewu,2024,22651.01,6.353031498374686,1097.0500000000002,27.191314571746386,83.12889558769004,668.9300000000001,26.969405913978495,86.03555376344086,184.82,27.426870967741937,76.35734050179212,5.913627512095017,5.875121009853006
Tanggamus,2024,23943.52,5.638986247636104,1083.12,26.39688083055247,82.64280244716352,640.1,26.695975806451617,84.05294892473117,198.96,26.572788530465953,76.8768888888889,5.786782531008549,5.744799297981649
Tulang Bawang,2024,75344.09,4.97901972138757,1127.25,27.84044308490916,82.55982113459399,636.2199999999999,27.178198924731184,87.56614516129032,197.16,27.92637634408602,76.57450896057348,4.431702578211602,4.263785188289509
Tulang Bawang Barat,2024,7282.52,4.056127549254928,1127.25,27.84044308490916,82.55982113459399,636.2199999999999,27.178198924731184,87.56614516129032,197.16,27.92637634408602,76.57450896057348,4.622006046744595,4.783061147077767
Way Kanan,2024,19986.05,4.78890376037286,1161.3000000000002,26.42988016314423,83.89776143863551,648.8100000000001,25.901682795698925,88.51260215053762,198.36,26.65487455197133,76.93832258064516,4.520708750626975,4.639382468901614
