Model,tahun_test,RMSE,MAE,R2,MAPE,Tipe
Ridge Regression,2020,0.47231412746787305,0.3968932208645555,0.33306618112940856,8.126601692759634,ML
Ridge Regression,2021,0.7110204253679436,0.6467233525996667,-0.8812191080461107,12.584866459875993,ML
Ridge Regression,2022,0.2821170939951872,0.23410124491865372,0.6934168247060615,4.503668425169226,ML
Ridge Regression,2023,0.5036953027078903,0.42489617054197787,0.11122024143774012,8.009435276268134,ML
Ridge Regression,2024,0.4828948952205172,0.38655926576974375,0.33425166271249795,7.480497719922882,ML
Ridge Hist Lag,2020,0.5416610731323169,0.4433830172414751,0.12284545149897941,8.768282657603084,ML
Ridge Hist Lag,2021,0.48908294652128453,0.382085715001125,0.10989699405994446,7.108200426526047,ML
Ridge Hist Lag,2022,0.37106077982932684,0.30504539106328465,0.46962918179093127,5.669928256021333,ML
Ridge Hist Lag,2023,0.34633021190432906,0.30329865388502525,0.5798163871869461,5.965867000762955,ML
Ridge Hist Lag,2024,0.3906128804470434,0.305409103974972,0.5643898588656091,6.257312741100966,ML
Random Forest,2020,0.5339017354135085,0.4328083825552415,0.14779606904675469,8.869241379627722,ML
Random Forest,2021,0.5671022003514955,0.45014668552254483,-0.19673472364222144,8.339324911912275,ML
Random Forest,2022,0.49049052292711043,0.405962919949294,0.07327526326727518,7.596105887597648,ML
Random Forest,2023,0.5516360870750504,0.4264073052624152,-0.06601592384007882,7.9551240473883205,ML
Random Forest,2024,0.5506684177429297,0.4169469687719565,0.13426455218676403,8.093152364131512,ML
Gradient Boosting,2020,0.49552789487012433,0.45323349181573724,0.2658968580877695,9.53962981657051,ML
Gradient Boosting,2021,0.7251939914409391,0.6236275221255972,-0.9569675391517167,11.808771074573608,ML
Gradient Boosting,2022,0.39747654067429394,0.31517671990699564,0.3914272285485475,5.971057728264352,ML
Gradient Boosting,2023,0.5100005852364841,0.4102439265164685,0.08882939096317877,7.609343446927544,ML
Gradient Boosting,2024,0.4917526839812933,0.39584232761930066,0.30960388383391013,7.765750411035352,ML
Naive Mean,2020,0.603580078384947,0.49554769400842597,-0.08915743973485268,9.978070980303588,Baseline
Naive Mean,2021,0.5926324453833214,0.42358115534962226,-0.3069111907223052,7.788811507953632,Baseline
Naive Mean,2022,0.6012470327968157,0.4878578088966409,-0.39250065078949303,9.095510920182932,Baseline
Naive Mean,2023,0.5745096015361216,0.5116132130239555,-0.1562531693894449,9.925297636662453,Baseline
Naive Mean,2024,0.5996340108749857,0.48495621865185384,-0.02654354681447879,9.507579323028885,Baseline
Naive Kab Mean,2020,0.5809568484609242,0.47404730935762945,-0.009040549904057782,9.557085742642665,Baseline
Naive Kab Mean,2021,0.4437338938725715,0.3557849914668432,0.2673097145240443,7.001153936476924,Baseline
Naive Kab Mean,2022,0.38322650680364967,0.33336494048687637,0.43428122071109543,6.386676316892878,Baseline
Naive Kab Mean,2023,0.42103033038731175,0.38410893771575527,0.3790092668053312,7.3449897203149845,Baseline
Naive Kab Mean,2024,0.44372080180090595,0.3612720426237617,0.437885951008504,7.103257337696155,Baseline
Naive Lag1,2020,0.5809568484609242,0.47404730935762945,-0.009040549904057782,9.557085742642665,Baseline
Naive Lag1,2021,0.5402544265098653,0.4156381860762081,-0.08610520634096486,8.187305787454155,Baseline
Naive Lag1,2022,0.3391417053872233,0.24696174420234468,0.5569508435570335,4.660502403282614,Baseline
Naive Lag1,2023,0.31383428419990517,0.2715106464596485,0.6549681993966523,5.481429866270746,Baseline
Naive Lag1,2024,0.3834700999198565,0.2861006080211724,0.580175407710957,5.918251431739723,Baseline
Naive Roll2,2020,0.5026392411497134,0.41946238608548014,0.2446753637655863,8.738997241061078,Baseline
Naive Roll2,2021,0.4437338938725715,0.3557849914668432,0.2673097145240443,7.001153936476924,Baseline
Naive Roll2,2022,0.2786233520473924,0.24038731846774689,0.7009632664129295,4.562043485746367,Baseline
Naive Roll2,2023,0.35193835564834913,0.3149387102843449,0.5660980970726595,6.101274599101847,Baseline
Naive Roll2,2024,0.3876341227481364,0.320040268260628,0.5710083272173719,6.539743166330855,Baseline
